edge_id,node_from,node_to
-37142793#1,1784566610,7079390824
-37142793#2,4486328014,1784566610
-37142793#3,6380078028,4486328014
-37142793#4,4486328017,6380078028
-37142793#5,6380078023,4486328017
-37142793#6,4486328026,6380078023
-37142793#7,428785845,4486328026
-37358088#0,436107033,436107016
-37358088#1,3525042581,436107033
-37358088#2,436107038,3525042581
-37358088#3,436107040,436107038
-37358088#4,436107041,436107040
-37358090#0,6380078002,429230422
-37358090#1,9171367472,6380078002
-37358090#10,436107061,429229265
-37358090#11,436107065,436107061
-37358090#12,436107033,436107065
-37358090#13,436107069,436107033
-37358090#14,1827200304,436107069
-37358090#15,1827200290,1827200304
-37358090#2,1830608378,9171367472
-37358090#3,9171367476,1830608378
-37358090#4,436107051,9171367476
-37358090#5,1830603407,436107051
-37358090#6,11726476723,1830603407
-37358090#7,436107055,11726476723
-37358090#8,1830591268,436107055
-37358090#9,429229265,1830591268
-374254706#0,1830940483,3776249829
-374254706#1,3776249830,1830940483
-374537843#0,6880042799,11149872704
-374537843#1,3779336526,6880042799
-37574236#0,9171613446,436107038
-37574236#1,440354104,9171613446
-37574236#2,440354101,440354104
-37574240#0,4486345141,429229262
-37574240#1,440354123,4486345141
-404227762#0,7081664045,3779336526
-404227762#1,4065020665,7081664045
-451524168,4483503354,3632714950
-451524169,4483503356,3240719212
-451819207#0,10230384112,4486328015
-451819207#1,4486328016,10230384112
-451819208#0,4486328019,4486328017
-451819208#1,4486328023,4486328019
-451819208#2,4486328025,4486328023
-451819208#3,4486328018,4486328025
-451819209,4486328022,4486328019
-451819210,4486328025,4486328024
-451819211#0,4486328026,6380078022
-451819211#1,4486328027,4486328026
-451819212#0,4486328032,4486328028
-451819212#1,6876979338,4486328032
-451819212#2,4486328030,6876979338
-451819213,4486328032,6876979331
-451820856,4486345138,4486345136
-451820857,4486345140,4486345139
-451820858,4486345142,4486345141
-492985915#0,6876979333,429001566
-492985915#1,4849405864,6876979333
-492985915#2,6880413574,4849405864
-547829070,5293063239,5293067450
-681302149,6380073814,6380073817
-681302150,4486328034,6380073820
-681302526,6380078001,6380078002
-681302529,6380078009,6380078011
-681302530#0,11724316153,11724316152
-681302530#1,11724316149,11724316153
-681302532,6380078015,6380078016
-681302533#0,6380078017,1788441304
-681302533#1,4486328018,6380078017
-681302534,6380078018,6380078019
-681302535,6380078020,6380078021
-681302536#0,6380078026,10248266806
-681302536#1,6380078021,6380078026
-681302536#2,6380078023,6380078021
-681302537,6380078027,6380078029
-681302538#0,6380078020,6380078031
-681302538#1,6380078019,6380078020
-681302538#2,11724216096,6380078019
-681302538#3,6380078029,11724216096
-681309249,6380166501,6380166502
-734341871,3240719232,1784566636
-734352495,6876979332,6876979333
-734352496,6876979334,4849405864
-734352497,6880413579,6876979337
-734352498#0,6876979337,6876979338
-734352498#1,6880413578,6876979337
-734352499,6876979339,6876979341
-734352500,6876979344,6876979342
-734352501#0,6876979342,6876979350
-734352501#1,11724009120,6876979342
-734642636#0,6880042800,428785847
-734642636#1,6880042799,6880042800
-744539877,6970975073,6968257846
-755074022,7053551128,7053551129
-758060856#0,7079390825,7079390826
-758060856#1,7079390824,7079390825
-758283602,7081664045,6880042800
-758836809,1784523555,7087257871
-775056868#0,7230977073,7230977072
-775056868#1,7230977074,7230977073
-992663479#0,9171367473,9171367472
-992663479#1,1830608381,9171367473
-992663481,9171367476,11149408647
-992663482,6380078000,1784523535
-992663483,9171367481,1784523565
-992663492,9171367512,429229064
-992687639,9171613439,9171613437
-992687640,9171613446,436107065
1063536255,9769092887,3670204025
1063536256,1784559390,323129500
1063536257,1784529285,1784540184
1063536258,1784551833,1784529290
1063536259,1784529288,9769092889
1069815570,1784518735,1784523551
1076305648#0,9870050277,9870050283
1076305648#1,9870050283,9870050280
1076305648#2,9870050280,9870050285
1076305648#3,9870050285,9870050281
1076305649,9870050282,9870050283
1076305650,11723727602,9870050282
1076305651,9870050285,9870050287
1078758068,6380078031,9889278711
1081686677,429410630,9913958185
1116771270,10213864503,10213864504
1118580397,10230384112,10230384113
1119771324#0,10241696212,11149436520
1119771324#1,11149436520,10241696214
1119771324#2,10241696214,10241696216
1119771324#3,10241696216,10241696214
1121147959,10254968114,10254968115
1130786637,10538430676,10538430677
1132736820,11693513552,10562032833
1136917573#0,10598349885,10598349886
1136917573#1,10598349886,10598349888
1136917574,10598349886,10598349890
1194686009,440354101,429229264
1194686010,440354101,436107061
1201593595,4486328014,11140288458
1201596258,11140317232,11140317233
1201596259,323131066,11140317234
1201596260#0,11140317233,7230977072
1201596260#1,7230977072,11140317238
1201596261,11140317234,7230977073
1201958783#0,9171613439,11143746599
1201958783#1,11143746599,11143746600
1201958784,11143746599,11143746601
1202686044,6380078000,440354136
1202688400,11149436516,11149436520
1202688499,10248266808,10248266806
1202688500,1784518725,10248266806
1214975354#0,7111759237,6380073817
1214975354#1,6380073817,6380073820
1214975354#2,6380073820,3632704945
1214975354#3,3632704945,429001482
1214975354#4,429001482,1788450285
1214975354#5,1788450285,3242193372
1214975355#0,1788445419,9171613437
1214975355#1,9171613437,429001566
1214975355#2,429001566,4486328028
1214975355#3,4486328028,429001483
1214975356#0,3242185260,10213864503
1214975356#1,10213864503,6380078017
1214975356#2,6380078017,3242193372
1214975357,3242193372,429001483
1219474754#0,3779336540,11299488496
1219474754#1,11299488496,11299488486
1219474756,11299488494,11299488496
1238774742,11507870093,11507870094
1257759191#0,1783433700,11693513535
1257759191#1,11693513535,11693513568
1257759191#2,11693513568,11693513561
1257759191#3,11693513561,11693513560
1257759191#4,11693513560,11693513559
1257759191#5,11693513559,11693513558
1257759191#6,11693513558,11693513547
1257759191#7,11693513547,11693513552
